"Group","W","p_value","rejected"
"gene_18776",0.999390295195876,0.997747911641994,FALSE
"gene_13337",0.999297874070952,0.993736861883168,FALSE
"gene_745",0.999217787316614,0.98719571283072,FALSE
"gene_4471",0.999212847491554,0.986721719112919,FALSE
"gene_1641",0.999183467281713,0.983350397103246,FALSE
"gene_14364",0.99918235975487,0.983259289998676,FALSE
"gene_5115",0.999181907150106,0.983250525103965,FALSE
"gene_4958",0.999168213973843,0.981501822400568,FALSE
"gene_11313",0.999147395337729,0.978576175287399,FALSE
"gene_16506",0.999140920522953,0.97763854944033,FALSE
"gene_15762",0.9991311346951,0.97614063771336,FALSE
"gene_17444",0.999119615562712,0.974281125008769,FALSE
"gene_2436",0.999107138476354,0.972154256791334,FALSE
"gene_14790",0.999105261448242,0.97186517206444,FALSE
"gene_2075",0.99909154972887,0.969371441697515,FALSE
"gene_3463",0.999036443854861,0.957769145892816,FALSE
"gene_3425",0.999035887337879,0.95768687453946,FALSE
"gene_3986",0.999029285879817,0.956178763312352,FALSE
"gene_3337",0.999020332756621,0.954062217318826,FALSE
"gene_5380",0.998988270767772,0.945847405353134,FALSE
"gene_9809",0.998976631766119,0.942696328084056,FALSE
"gene_2618",0.998966085575719,0.939754153532003,FALSE
"gene_5487",0.998942371773578,0.932765299247735,FALSE
"gene_17329",0.998941994522329,0.932695952572247,FALSE
"gene_17996",0.998931786005719,0.929577014142696,FALSE
"gene_17626",0.998929749966822,0.928982144535384,FALSE
"gene_7298",0.99891467979378,0.924187007196669,FALSE
"gene_15247",0.998910820624403,0.92296535169113,FALSE
"gene_13786",0.998901271558663,0.919827032351206,FALSE
"gene_18871",0.998891581272881,0.916572014812014,FALSE
"gene_6002",0.998890874767706,0.916373953899935,FALSE
"gene_2796",0.99888438330151,0.914165977989172,FALSE
"gene_3282",0.998877389225672,0.911748864915898,FALSE
"gene_6455",0.998875397095435,0.911086056554484,FALSE
"gene_10515",0.998872806659781,0.910206282520289,FALSE
"gene_15151",0.998871186474455,0.90967036660566,FALSE
"gene_14381",0.998861642977028,0.906255196837788,FALSE
"gene_10926",0.998856910622408,0.904560069364447,FALSE
"gene_15091",0.998850462754243,0.902208570122386,FALSE
"gene_6402",0.998838181343445,0.897608543730005,FALSE
"gene_8090",0.998828420768025,0.893887427331553,FALSE
"gene_15075",0.998823707273187,0.892089987751401,FALSE
"gene_9670",0.998815516203248,0.888898139824837,FALSE
"gene_2563",0.998814250806706,0.888438187579851,FALSE
"gene_8896",0.998809528403867,0.886592142661185,FALSE
"gene_20006",0.998808668643767,0.886290307375806,FALSE
"gene_3120",0.99880754232556,0.885880530743161,FALSE
"gene_18038",0.998807220695333,0.885794655955018,FALSE
"gene_17211",0.998803530241915,0.884345471705283,FALSE
"gene_10542",0.99879304689429,0.880099953920661,FALSE
"gene_6275",0.998784534033441,0.876608859429604,FALSE
"gene_17702",0.998771446150001,0.871129747821376,FALSE
"gene_15098",0.998769875948041,0.870503212916241,FALSE
"gene_20169",0.998767967890432,0.86973051806765,FALSE
"gene_14424",0.998760260517285,0.866455968707948,FALSE
"gene_15064",0.998759051700301,0.865975281085159,FALSE
"gene_4661",0.998753116040308,0.863434683938249,FALSE
"gene_13341",0.998751591531015,0.862810523437078,FALSE
"gene_17508",0.998739361584904,0.857454627540797,FALSE
"gene_3359",0.998739161915444,0.857408213722938,FALSE
"gene_18019",0.998738721459329,0.857254564729308,FALSE
"gene_8562",0.99873265872494,0.85458678549627,FALSE
"gene_5078",0.998725142328315,0.851240650367698,FALSE
"gene_839",0.998718441048644,0.848235770895284,FALSE
"gene_7651",0.998703651989358,0.841468844199684,FALSE
"gene_14923",0.998700981580851,0.840268914602667,FALSE
"gene_8498",0.998698749907337,0.839270085672364,FALSE
"gene_5347",0.998698316445429,0.839109251798297,FALSE
"gene_19481",0.9986956637661,0.837910127924002,FALSE
"gene_5687",0.998687637565516,0.834176247034633,FALSE
"gene_18863",0.998687138369151,0.833981683791444,FALSE
"gene_10680",0.998684644091364,0.832842569191356,FALSE
"gene_15821",0.998684430417485,0.832782547419616,FALSE
"gene_18723",0.998677185937984,0.829377321569928,FALSE
"gene_13722",0.998674312483479,0.828044433206829,FALSE
"gene_15885",0.998674172509072,0.828018413797961,FALSE
"gene_19304",0.998673826807516,0.827893827549744,FALSE
"gene_3383",0.998668562689657,0.825406218446029,FALSE
"gene_2546",0.998667315136968,0.824845944621584,FALSE
"gene_1650",0.998659071044312,0.820896285504246,FALSE
"gene_6935",0.998656382179784,0.819628790212505,FALSE
"gene_13291",0.998654574919335,0.818788313333927,FALSE
"gene_15826",0.998642699679572,0.813004055414668,FALSE
"gene_1964",0.998641612657512,0.812508139788793,FALSE
"gene_18148",0.998636237112187,0.809889457247797,FALSE
"gene_3052",0.998635603398874,0.809615334942385,FALSE
"gene_2363",0.998626402239162,0.805074193339478,FALSE
"gene_19804",0.998617411359725,0.800605171643407,FALSE
"gene_9952",0.998616758803597,0.800316372745628,FALSE
"gene_18426",0.998614862744603,0.799400659631345,FALSE
"gene_10711",0.998603751212935,0.79381443384701,FALSE
"gene_13595",0.998603063086581,0.793503889065321,FALSE
"gene_4941",0.9986028566348,0.793438210888535,FALSE
"gene_748",0.998594292459104,0.789107901198886,FALSE
"gene_4166",0.998593978470634,0.788986326610535,FALSE
"gene_510",0.998590025920845,0.786999609052862,FALSE
"gene_11645",0.998577803183838,0.780740935500916,FALSE
"gene_5608",0.998577640996827,0.78069575306881,FALSE
"gene_10447",0.998576328984657,0.780055462549507,FALSE
"gene_12764",0.998574151590654,0.778966035524373,FALSE
"gene_11110",0.998572992943016,0.778403737733558,FALSE
"gene_8575",0.998570367871733,0.777079261352966,FALSE
"gene_631",0.998566897928248,0.775312707953545,FALSE
"gene_4438",0.998557590294769,0.770491382352762,FALSE
"gene_8360",0.998556915749512,0.770176407823906,FALSE
"gene_18947",0.998554003088216,0.768687990229236,FALSE
"gene_17117",0.998551562456222,0.767445015799904,FALSE
"gene_15408",0.998551039132021,0.767208162341575,FALSE
"gene_19175",0.99854769011983,0.765484981959061,FALSE
"gene_12738",0.998544559079916,0.763873530260934,FALSE
"gene_17441",0.99854300831248,0.76309348188048,FALSE
"gene_902",0.998540152569445,0.761623368464653,FALSE
"gene_8230",0.998538469800092,0.760771541319518,FALSE
"gene_7928",0.998534422533645,0.758666594839442,FALSE
"gene_6436",0.998533109412746,0.75800813646457,FALSE
"gene_20493",0.99853045638335,0.756637972041202,FALSE
"gene_11932",0.998526097206952,0.754358586097,FALSE
"gene_4079",0.998521068334044,0.751717430830015,FALSE
"gene_9774",0.998519136175011,0.750723989671683,FALSE
"gene_10064",0.998506902449024,0.744215451390126,FALSE
"gene_11246",0.998503969969121,0.742678540640395,FALSE
"gene_11648",0.998502787423174,0.742080212395571,FALSE
"gene_18862",0.998493489003962,0.737112610968275,FALSE
"gene_19535",0.998488701312019,0.73456593232108,FALSE
"gene_14974",0.998475894827633,0.727672256854702,FALSE
"gene_3374",0.998475799738749,0.727656825437986,FALSE
"gene_14679",0.998473066676048,0.726210257191054,FALSE
"gene_14083",0.998472329052664,0.72584593211101,FALSE
"gene_4922",0.998467588005649,0.723306374903424,FALSE
"gene_821",0.998464533978692,0.721681307569593,FALSE
"gene_6200",0.998464156159789,0.721511560988368,FALSE
"gene_9861",0.998463980243024,0.721451660241855,FALSE
"gene_6548",0.998462722361152,0.720802775091174,FALSE
"gene_7253",0.998462172408498,0.720539130149099,FALSE
"gene_3066",0.998461188020498,0.720038790836028,FALSE
"gene_19401",0.998459802405534,0.719319639074752,FALSE
"gene_65",0.99845887857249,0.718851872265648,FALSE
"gene_3897",0.998457475600549,0.718122685464381,FALSE
"gene_5433",0.99845673954823,0.717756942717092,FALSE
"gene_12856",0.998455498458795,0.717115553021297,FALSE
"gene_20170",0.998452052843565,0.715270345183584,FALSE
"gene_200",0.998444154483314,0.710988636514786,FALSE
"gene_17661",0.998443914134528,0.710892470352651,FALSE
"gene_3952",0.998442883202714,0.71036365823126,FALSE
"gene_15777",0.998441340073053,0.709554271176642,FALSE
"gene_20036",0.998441223987882,0.709525979586487,FALSE
